GroupName,GroupLink,NumberOfUsers
Travel Blogger Tribe,https://plus.google.com/communities/103811919819638415442,2667
Travel Australia,https://plus.google.com/communities/114121947940908629186,2659
India Travel & Tourism,https://plus.google.com/communities/103925771072615453605,2558
Travel + Holiday,https://plus.google.com/communities/114441666913912860773,1012
LET'S TRAVEL,https://plus.google.com/communities/115641954751335707736,767
Job Search | Job Forum | Job offer demand,https://plus.google.com/communities/110504951990952462671,3382
South India Travel &Tourism,https://plus.google.com/communities/107593803410742162671,1640
Food and Travel,https://plus.google.com/communities/111798103390603250913,638
Croatia Travel Guide,https://plus.google.com/communities/110323596954478336186,513
Travel Photos,https://plus.google.com/communities/101436807817623833557,2009
Travel to Russia,https://plus.google.com/communities/117920536974097997283,1456
MEDICAL TOURISM,https://plus.google.com/communities/106919241633519815177,1623
UK Tourism,https://plus.google.com/communities/116912990414931699255,2290
Pokhara - Nepal,https://plus.google.com/communities/112946022508415503744,535
Infylist Classifieds,https://plus.google.com/communities/109710011737416613691,613
awe,https://plus.google.com/communities/112844663971356789700,530
Visit Myrtle Beach,https://plus.google.com/communities/116714775817318399196,522
Card-Photo,https://plus.google.com/communities/107254881063299293040,1044
Traveling,https://plus.google.com/communities/115083507818753078772,171822
Travel Around the World,https://plus.google.com/communities/117630443654797609517,132689
Travel Photography,https://plus.google.com/communities/115306486708006905618,123813
Travel Photography,https://plus.google.com/communities/105229360285749521458,201178
Travel Talk,https://plus.google.com/communities/104103022839701816274,32149
Travel,https://plus.google.com/communities/111488147854476756700,24152
Travel Bloggers and Photographers,https://plus.google.com/communities/113491071901427638775,20536
Travel Bloggers,https://plus.google.com/communities/111958162517848568286,15738
India Travel,https://plus.google.com/communities/107034936307383062557,12702
Adventure Travel,https://plus.google.com/communities/114421880203999530138,12011
Travel Suggestions,https://plus.google.com/communities/107968123062895880272,12108
Best Places to Travel,https://plus.google.com/communities/101946781416245240821,14052
Travel,https://plus.google.com/communities/113000765936333399581,11508
Travel the World,https://plus.google.com/communities/104798980730203742066,10229
Travel,https://plus.google.com/communities/109548447953565904229,35796
Travel,https://plus.google.com/communities/111890409199680703635,10947
Urban Travel,https://plus.google.com/communities/100692991170696028109,9217
Luxury Travel,https://plus.google.com/communities/116851459966342178880,8450
Adventure Travel,https://plus.google.com/communities/100332735422945383469,8321
Travel and Hotels,https://plus.google.com/communities/110237802674710395571,7510
Love to Travel,https://plus.google.com/communities/107031069257367813343,9819
Travel South Africa,https://plus.google.com/communities/118140622769288436322,6992
Travel and Photography,https://plus.google.com/communities/103987185860410824700,7139
Travel and Explore,https://plus.google.com/communities/100712749773650021559,7181
Luxury Travel,https://plus.google.com/communities/116255818275395149235,5868
Travel Photography,https://plus.google.com/communities/111151329130758791320,5786
Family Travel,https://plus.google.com/communities/104621624107089338286,4733
Travel Community,https://plus.google.com/communities/109661432723274560184,5239
Travel Writers  Bloggers and Armchair Travellers,https://plus.google.com/communities/113604777323528342708,4685
Fodor's Travel Community,https://plus.google.com/communities/118408117557834249357,4682
Travel India,https://plus.google.com/communities/108109951391145267142,5134
Travel to Incredible India,https://plus.google.com/communities/110068008526867176858,4835
Asia Travel,https://plus.google.com/communities/111515243300941204310,4411
Travel  hotels and culture,https://plus.google.com/communities/108406423913165537677,7211
GAY TRAVEL,https://plus.google.com/communities/107405660859191791146,4636
World Travel,https://plus.google.com/communities/109700605265367116246,7272
BILLIONAIRES CLUB~ Luxury Travel  Home  Car  Yacht,https://plus.google.com/communities/114582817480902475293,3215
Caribbean Travel,https://plus.google.com/communities/106603919769862641152,3220
Travel Dubai,https://plus.google.com/communities/111362542976776069269,3037
Travel & Tourism India,https://plus.google.com/communities/109453656513198091945,3240
Luxury Travel,https://plus.google.com/communities/106052642111112733167,4585
Malaysian Food  Travel & Culture,https://plus.google.com/communities/108629214645312002119,3158
Travel Photography,https://plus.google.com/communities/100038555200988655284,2880
Greece Travel - Greek Islands,https://plus.google.com/communities/101643976790829945442,2605
Travel & Adventures,https://plus.google.com/communities/104077495634885700631,4319
New Zealand Travel,https://plus.google.com/communities/117753301421257514411,3406
Travel Blogging,https://plus.google.com/communities/113141316184021214056,4901
Directioners Travel in One Direction,https://plus.google.com/communities/104235753578987625208,4494
Travelers and Travel Guides,https://plus.google.com/communities/108115200482333627649,2552
Travel to India | Travel Packages India,https://plus.google.com/communities/100877175500068794463,2736
Travel the world,https://plus.google.com/communities/101062027584616573224,2667
Travel Advisor,https://plus.google.com/communities/103233074598971920246,2185
Beautiful Islands - Travel & Vacations,https://plus.google.com/communities/104628798560242022001,2141
Travel Destination of The World,https://plus.google.com/communities/108456040509851934983,2121
Travel & Lifestyle Scandinavia,https://plus.google.com/communities/115749118997840317174,1999
Indonesia Travel,https://plus.google.com/communities/101593173006012309584,3023
Culinary Travel,https://plus.google.com/communities/116709364386576148803,2069
European Travel Photography,https://plus.google.com/communities/108897744499247411850,1769
SCUBA Travel Diving Reviews,https://plus.google.com/communities/108987910896648103254,1544
Barcelona Travel Tips,https://plus.google.com/communities/109086653838820344076,1662
Family Vacations | Travel with Kids,https://plus.google.com/communities/103676500204656770151,1460
Travel for All,https://plus.google.com/communities/114049628154087345562,1241
Australian Travel Photography,https://plus.google.com/communities/114499147325563142255,1276
Amazing Travel Photos,https://plus.google.com/communities/111413420054327888854,2257
Travel,https://plus.google.com/communities/115535778600064475317,2408
Travel Photography In Chile,https://plus.google.com/communities/112000754581166329898,1218
EARTH IS MY HOME Nature Animals Travel Photography,https://plus.google.com/communities/105311248853071887169,2085
Indonesia Travel Photos,https://plus.google.com/communities/100907487764494427064,1254
Luxury Family Travel,https://plus.google.com/communities/108707601471492019566,1132
Travel India,https://plus.google.com/communities/111008778964128518219,1138
Travel,https://plus.google.com/communities/108630866624312165499,1090
Family Travel,https://plus.google.com/communities/112812894600759066798,1263
RV Travel,https://plus.google.com/communities/106830560391698448659,1047
Travel Agent Chatter,https://plus.google.com/communities/110414863841069567661,1003
Travel around the world,https://plus.google.com/communities/101818148427758410118,1308
Surf & Travel Around The World,https://plus.google.com/communities/112894439210379866184,1068
Travel,https://plus.google.com/communities/116703299328152657893,1135
China Travel,https://plus.google.com/communities/117062840524510628800,1209
Sri Lanka Travel & Tourism,https://plus.google.com/communities/106716852969629538436,1094
The Finance of Travel,https://plus.google.com/communities/104629143658955097357,971
Travel,https://plus.google.com/communities/110022814570022741418,902
Travel Marketing,https://plus.google.com/communities/105772774371314112717,1147
Travel Blogs  Photos  & Videos,https://plus.google.com/communities/105681428436052314104,828
Canada Travel & Adventure,https://plus.google.com/communities/112625257284080276215,790
California Travel & Leisure,https://plus.google.com/communities/111200974123288579763,765
Thai Food  Recipes and Travel,https://plus.google.com/communities/110116960275463864300,862
SURFtheWORLD - Surf travel worldwide,https://plus.google.com/communities/112475502948769909967,762
TBEX: Travel Blog Exchange Community,https://plus.google.com/communities/110300392144978865553,743
Travel the world A - Z,https://plus.google.com/communities/108028849202078519768,813
Lesbian Travel,https://plus.google.com/communities/106926289362447367603,1041
Food  Drinks  Health & Travel,https://plus.google.com/communities/116854413428188293301,741
Archaeology Travel,https://plus.google.com/communities/109042320173514596525,793
Iran Travel Photo,https://plus.google.com/communities/114143067537120996167,757
Travel in Italy,https://plus.google.com/communities/110773648738895348699,713
Colombia Travel Community,https://plus.google.com/communities/113528297978040190066,626
Traveling in Pakistan,https://plus.google.com/communities/100623052479389137318,781
Travel Bloggers & Photographers worldwide,https://plus.google.com/communities/108090745431114112225,634
Mexico & Caribbean Travel,https://plus.google.com/communities/100094464701875801657,711
Gay Lesbian Travel,https://plus.google.com/communities/101524900457681443572,710
TRAVEL MUSINGS: The Drifters Blog,https://plus.google.com/communities/107247624498877852911,560
Travel  Events and Attractions,https://plus.google.com/communities/114414509210399482762,584
MTB Travel,https://plus.google.com/communities/112777457549066143528,786
Pet Travel,https://plus.google.com/communities/106136263174613527338,592
SA Travel Trade,https://plus.google.com/communities/116433702191566325971,668
Malaysia Travel Bloggers,https://plus.google.com/communities/106233339615640577567,681
Travel & Tourism Geography,https://plus.google.com/communities/101896626790593061386,594
Youtube Travel videos,https://plus.google.com/communities/112922148170463636310,706
Travel to South Africa,https://plus.google.com/communities/116075808087222612082,563
Puerto Rico Travel,https://plus.google.com/communities/115476787446065398329,524
Single and Love to Travel,https://plus.google.com/communities/103492888361494907791,503
Nigeria Travel  Tourism & Investment Opportunities,https://plus.google.com/communities/102553070980338330103,555
Travel photography focused on people,https://plus.google.com/communities/113298003428985478033,650
Travel Chiangmai Thailand,https://plus.google.com/communities/113735698504572065019,533
Asia Pacific Travel,https://plus.google.com/communities/116574282680981467570,1188
Luxury travel,https://plus.google.com/communities/118046473811614534654,544
New England Travel Fans,https://plus.google.com/communities/109619487125944293185,512
Travel Deals,https://plus.google.com/communities/111725409844837641419,636
Travel Inspiration,https://plus.google.com/communities/114515918752221678380,526
Philippine Travel Bloggers,https://plus.google.com/communities/100503955429820435085,613
Wine Travel,https://plus.google.com/communities/116263675841068924658,513
India Travel | Food | Train,https://plus.google.com/communities/115141409560487604401,917
Travel the World,https://plus.google.com/communities/112999799767751197180,1096
9 999 999 Pictures,https://plus.google.com/communities/111929653142182998411,38700
Tourism News,https://plus.google.com/communities/118420760292869440580,23133
AMAZING WORLD IN PICTURES,https://plus.google.com/communities/107227997247571388140,10042
Amazing Places to Visit,https://plus.google.com/communities/106760581680306134360,14540
All about Korea,https://plus.google.com/communities/106688308311936484478,8846
BLOGGERS AND TRAVELERS,https://plus.google.com/communities/114880711022925710409,8790
Learn Chinese,https://plus.google.com/communities/114086323099834306817,3214
Bali - Indonesia,https://plus.google.com/communities/113147949005709352644,2308
Antique and Flea Market Travelers,https://plus.google.com/communities/116713420545672564682,1879
Insight India,https://plus.google.com/communities/117349310959505158618,1324
Gay San Diego,https://plus.google.com/communities/113644177610103070041,1231
Opensim Virtual,https://plus.google.com/communities/116284417302234467612,995
Lifestyle,https://plus.google.com/communities/111729542395801235438,1083
Style Journal,https://plus.google.com/communities/104881902819484948486,900
Hotelchoosing,https://plus.google.com/communities/114259565168432154223,949
Turkey Tours,https://plus.google.com/communities/108052442117948281429,931
Egypt Tourism,https://plus.google.com/communities/115995272025220244709,639
Holiday Advisor,https://plus.google.com/communities/104349317065883161517,551
Europe trips,https://plus.google.com/communities/103119347546750744615,510
The JetSet Family,https://plus.google.com/communities/102222728148317276266,535
EVERYTHING ♥ YouTube ♥ BEST VIDEO COMMUNITY,https://plus.google.com/communities/106547191884960344315,5581
Lifestyle Bloggers,https://plus.google.com/communities/107992198925846443050,4065
Indian Travellers,https://plus.google.com/communities/111132807765731465502,6524
Beach Holidays,https://plus.google.com/communities/118172897062268796582,3024
Caribbean Islands,https://plus.google.com/communities/115410299818796456787,2656
PHOTOGRAPHY,https://plus.google.com/communities/105122735007495724537,2721
Backpacking,https://plus.google.com/communities/117508696163612619233,3124
Visit Norway,https://plus.google.com/communities/105490168706412281829,2050
Locations  placemarks  and waypoints,https://plus.google.com/communities/113860878496104141618,1737
Texas Blues,https://plus.google.com/communities/106397774258971127226,1567
Koh Samui - Thailand,https://plus.google.com/communities/113742833835839368167,971
Nainital The Lake District of India,https://plus.google.com/communities/117467136739422213662,660
Silent Hill,https://plus.google.com/communities/112154861145631426053,691
Wedding Prague,https://plus.google.com/communities/109483322114398852695,516
Family holidays,https://plus.google.com/communities/111830062475847086331,645
California & Western US Landscapes,https://plus.google.com/communities/109780917718402194905,52171
Wonderful Pictures,https://plus.google.com/communities/109280126769291679533,16485
Places To See Before You Die,https://plus.google.com/communities/116545698406032242538,30058
Beautiful World,https://plus.google.com/communities/117159265920107987106,6973
YOUTUBE ™ Your Videos & Movies & Pictures Youtube,https://plus.google.com/communities/118104616724566165461,6311
Off Road Enthusiasts,https://plus.google.com/communities/114919306378507771977,3973
Ghost Adventures,https://plus.google.com/communities/110394630927289883555,3915
Paris Lovers,https://plus.google.com/communities/105948978014665102416,3264
Psychic Ability Chat,https://plus.google.com/communities/111101122860486733904,2953
Vacation Ideas,https://plus.google.com/communities/105949998673489005609,3776
We and World,https://plus.google.com/communities/101294347640540676739,2901
Passion for Africa,https://plus.google.com/communities/105663911139036220052,2871
GAY Thailand,https://plus.google.com/communities/100540883493870638426,3046
Share blogs,https://plus.google.com/communities/101983293230213672279,2704
Indonesia,https://plus.google.com/communities/105338438648887550245,3060
Youtubers! funny youtube videos - games - animals,https://plus.google.com/communities/108039881400918124169,2422
Learning Russian with Russians,https://plus.google.com/communities/114610421531201572864,2347
Kids Activities Share!,https://plus.google.com/communities/110065809250127071269,1746
Greece: the lands of the Gods,https://plus.google.com/communities/110300597677354594369,1676
Motorcycle Photography Community,https://plus.google.com/communities/118240376322560325656,1541
HD WALLPAPER HUB,https://plus.google.com/communities/116076490782707635178,1489
Adventure in India,https://plus.google.com/communities/102375755849527880787,1516
Wonderful Spain,https://plus.google.com/communities/114993215446389233029,1474
Adventure Motorcycle Rider,https://plus.google.com/communities/106852015575144080921,1474
YouTube Motorcycle Adventurers,https://plus.google.com/communities/117175756664567729320,1398
Luhan * EXO * FansClub ^O^,https://plus.google.com/communities/104520957292896084477,1753
USA - United States of America on Google+,https://plus.google.com/communities/113379042690859249226,1259
Google+  Facebook  LinkedIn  Twitter & Tumblr Cat,https://plus.google.com/communities/114976543961925392084,1161
= S I R I U S =,https://plus.google.com/communities/116910268561753127755,1116
Italy,https://plus.google.com/communities/106910639054661261008,1227
THE BEST: PLANET EARTH PHOTOS NATURE SPACE PICTURE,https://plus.google.com/communities/108988140935373135262,2032
Immortality,https://plus.google.com/communities/114227130939138359859,1082
Canada50,https://plus.google.com/communities/113294635203975918189,1360
Pinoys Around The World,https://plus.google.com/communities/109076683761708716747,1006
Luhan (루한),https://plus.google.com/communities/105575286202034466058,1053
My Canada,https://plus.google.com/communities/116525903278521508410,1057
Thailand,https://plus.google.com/communities/115091400088634514663,2520
Senior Singles Dating,https://plus.google.com/communities/102840521733555990662,946
Vacation Rentals,https://plus.google.com/communities/111241993801621482859,964
My Blogworld Forum,https://plus.google.com/communities/116806653057256386192,832
Sri Lanka,https://plus.google.com/communities/105859629533603868195,797
Disney World,https://plus.google.com/communities/106061395784714417887,805
Facebook Graph Search,https://plus.google.com/communities/103826967972037872645,789
CANADA ROCKS!,https://plus.google.com/communities/109119714227256275764,752
BaldHiker - Your World,https://plus.google.com/communities/101603623216578879511,680
Language,https://plus.google.com/communities/116102009102648156294,688
UrbanSketchers,https://plus.google.com/communities/103551504514000014084,664
Barcelona fans,https://plus.google.com/communities/117033600964170736485,656
Official Bubble Witch Saga Community,https://plus.google.com/communities/115081757998702321497,636
Thailand Explorer,https://plus.google.com/communities/107333869830561228071,659
Boho & Beauty,https://plus.google.com/communities/117922595086481035505,628
The Best Places in the world,https://plus.google.com/communities/110538198190830037377,1258
Add circles sharedcircles shared followers follow,https://plus.google.com/communities/116014769357431090997,508
Exploring South Australia,https://plus.google.com/communities/112314254333830166442,553
Google Lunar XPRIZE,https://plus.google.com/communities/109643241940424501576,553
Luxury Hotels,https://plus.google.com/communities/100328963127024907810,531
Psychic  Astrology  Tarot and Quotes,https://plus.google.com/communities/105386279039967668469,714
Archilovers,https://plus.google.com/communities/115075652181379067098,555
Travel Dating,https://plus.google.com/communities/103348431370196693723,6181
Thailand Travel and Women,https://plus.google.com/communities/117977576308703127188,12411
Single,https://plus.google.com/communities/102875122720730124436,2641
Big Beautiful Dating,https://plus.google.com/communities/117967431276655740289,1058
HD Photos,https://plus.google.com/communities/116644243853476813414,1152
Female Travel,https://plus.google.com/communities/102026417653130025830,1964
Fiji Travel,https://plus.google.com/communities/104173163843873289236,515
Waze in Malaysia,https://plus.google.com/communities/112344479411419974312,1443
Croatia,https://plus.google.com/communities/103267148055751102542,1049
Kerala,https://plus.google.com/communities/101874489199103313656,5415
Indian Food Recipes,https://plus.google.com/communities/100208395660391336396,829
Kerala,https://plus.google.com/communities/118128077909527001461,1199
DEEPIKA FANZZ CLUB,https://plus.google.com/communities/110132532190156367585,566
Small business ideas with low investment,https://plus.google.com/communities/109857626068611979998,556
